"filename", "language", "JavaScript React", "JavaScript", "XML", "Markdown", "HTML", "CSS", "JSON", "SQL", "comment", "blank", "total"
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\messages\index.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 1, 5, 20
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\offers\[slug].js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 6, 67
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\offers\index.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 4, 55
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\offers\with-trades\[slug].js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\offers\with-trades\index.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\trades\[slug].js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 6, 71
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\trades\index.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 6, 5, 52
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\trades\with-offers\[slug].js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 2, 4, 56
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\trades\with-offers\index.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 3, 43
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\[slug].js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 0, 8, 88
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\index.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 10, 4, 73
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\with-offers\[slug].js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 0, 3, 3, 77
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\with-offers\index.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 6, 5, 79
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\with-trades\[slug].js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 3, 3, 72
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\with-trades\index.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 2, 3, 63
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\index.jsx", "JavaScript React", 200, 0, 0, 0, 0, 0, 0, 0, 0, 12, 212
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\login.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\GLTFLoader.js", "JavaScript", 0, 2308, 0, 0, 0, 0, 0, 0, 294, 457, 3059
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\ably.min-1.0.13.js", "JavaScript", 0, 301, 0, 0, 0, 0, 0, 0, 11, 0, 312
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\ammo\ammo.js", "JavaScript", 0, 543, 0, 0, 0, 0, 0, 0, 4, 11, 558
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\ammo\ammo.wasm.js", "JavaScript", 0, 513, 0, 0, 0, 0, 0, 0, 1, 6, 520
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\beerPong.html", "HTML", 0, 0, 0, 0, 489, 0, 0, 0, 0, 68, 557
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\enable3d.ammoPhysics.0.23.0.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 3
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\three.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 5, 1, 7
"d:\Dev\Beer-Bulletin\beer-bulletin\public\vercel.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Dev\Beer-Bulletin\beer-bulletin\styles\muiImports.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Dev\Beer-Bulletin\beer-bulletin\styles\theme.jsx", "JavaScript React", 92, 0, 0, 0, 0, 0, 0, 0, 4, 4, 100
"d:\Dev\Beer-Bulletin\beer-bulletin\util\getImageData.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 5, 1, 22
"d:\Dev\Beer-Bulletin\beer-bulletin\util\hooks\AblyReactEffect.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 1, 9, 36
"d:\Dev\Beer-Bulletin\beer-bulletin\util\hooks\useAsynFetch.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Dev\Beer-Bulletin\beer-bulletin\util\hooks\useFramerScroll.jsx", "JavaScript React", 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\Dev\Beer-Bulletin\beer-bulletin\util\hooks\useS3Connect.jsx", "JavaScript React", 99, 0, 0, 0, 0, 0, 0, 0, 9, 17, 125
"d:\Dev\Beer-Bulletin\beer-bulletin\util\pathAccessS3.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"Total", "-", 3930, 5328, 4, 37, 489, 67, 16978, 2, 664, 1185, 28684
